"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",116,44,0,0,"Shot",0.458161125946429,0.0772778247765796,5.34529378862584
"2",108,38,0,0,"Shot",0.223065571538225,0.0378830737996375,5.38204832485755
"3",76,76,112,68,"Run",0.762913910680559,0.0304808247055531,1.2661527655763
"4",102,42,0,0,"Shot",0.239869606025418,0.0303194396875987,4.00572266397708
"5",116,54,116,38,"Pass",0.18653250418038,0.0295724940052054,5.02421666980671
"6",84,68,84,76,"Pass",0.480401151327412,0.0284249829471921,1.87512878879683
"7",112,56,112,42,"Pass",0.096848649712168,0.0274167561852412,8.97134231584941
"8",90,76,108,52,"Pass",0.861146750261975,0.0272205257293008,1.00173828013588
"9",114,70,116,40,"Pass",0.379164893385494,0.0241781982467875,2.02083447868755
"10",108,48,0,0,"Shot",0.188081242001292,0.0232399950924385,3.91584485064327
"11",104,66,116,30,"Pass",0.626633050771282,0.0229742609726276,1.16188509653344
"12",114,30,0,0,"Shot",0.284310076791657,0.0224370260603136,2.50096703887329
"13",100,66,88,66,"Pass",0.257861109238568,0.0206876160734386,2.54249161691452
"14",82,30,106,34,"Run",0.659516302793252,0.0197681794443669,0.94989601895896
"15",86,72,82,66,"Pass",0.100366795476819,0.0192652207162819,6.08301460424042
"16",78,34,64,32,"Pass",0.614033210541903,0.0188903756657703,0.974952959642865
"17",102,60,112,38,"Pass",0.188430630575401,0.0170211184440043,2.86267154197897
"18",106,64,114,46,"Pass",0.131173920574953,0.0163929091911457,3.96044022020507
"19",98,44,106,34,"Pass",0.364927214489622,0.0162787625325739,1.41367658289626
"20",48,66,44,56,"Pass",0.139644684602562,0.0162482816184423,3.68738051619469
"21",108,64,100,56,"Pass",0.0972492851178261,0.0156163587236046,5.08895121380923
"22",86,34,102,18,"Pass",0.520386304807947,0.0151196707389915,0.920770514109909
"23",88,58,80,64,"Pass",0.267281960725809,0.0148151441146464,1.75659305044091
"24",90,24,94,14,"Pass",0.45368926804056,0.0147697122352484,1.03168818256608
