Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedProbabiliticGoals,y,x,event
11,0.161638078994521,0,0,0,0,24,88,Shot
12,0.274872171902762,0,0,0,0,26,88,Shot
15,0.420982752126876,0,0,0,0,28,88,Shot
15,0.396410306202106,0,0,0,0,30,88,Shot
17,0.231605504053051,0,0,0,0,32,88,Shot
17,0.19305692812548,0,0,0,0,34,88,Shot
15,0.266087612429276,0,0,0,0,36,88,Shot
16,0.585028022994608,1,0.000155465655799487,0.000265740528126667,0.000155465655799487,38,88,Shot
17,0.888935284518789,1,0.00213543327503462,0.00240223704945024,0.00213543327503462,40,88,Shot
17,0.772419585387561,1,0.0107905372037457,0.0139697871569784,0.0107905372037457,42,88,Shot
21,0.612619389445439,1,0.0200588321946292,0.0327427315233803,0.0200588321946292,44,88,Shot
26,0.440548671730522,1,0.0137174612517733,0.0311372207703853,0.0137174612517733,46,88,Shot
26,0.425501935764504,1,0.0034510190533744,0.00811046616550386,0.0034510190533744,48,88,Shot
23,0.797272080712364,1,0.000319393806388999,0.000400608291843884,0.000319393806388999,50,88,Shot
23,0.929448340919497,0,0,0,0,52,88,Shot
19,0.688502248633674,0,0,0,0,54,88,Shot
16,0.495879162067227,0,0,0,0,56,88,Shot
13,0.243579347289038,0,0,0,0,58,88,Shot
6,0.0722916432381763,0,0,0,0,60,88,Shot
6,0.0197148864356306,0,0,0,0,62,88,Shot
1,0.00350948592001663,0,0,0,0,64,88,Shot
1,0.000288076146915157,0,0,0,0,66,88,Shot
1,0.000131344657850385,0,0,0,0,16,90,Shot
7,0.00431007930468711,0,0,0,0,18,90,Shot
10,0.0395194403850445,0,0,0,0,20,90,Shot
14,0.188263407167891,0,0,0,0,22,90,Shot
17,0.459762611573345,0,0,0,0,24,90,Shot
20,0.708440112485984,0,0,0,0,26,90,Shot
18,0.893990967997543,0,0,0,0,28,90,Shot
16,0.752017780477372,0,0,0,0,30,90,Shot
18,0.463871631598305,0,0,0,0,32,90,Shot
20,0.406630106908749,0,0,0,0,34,90,Shot
21,0.357266763587584,0,0,0,0,36,90,Shot
19,0.378017652404538,1,0.000801451808977087,0.00212014387126929,0.000801451808977087,38,90,Shot
21,0.470849524588733,1,0.0110085205148699,0.0233801245195807,0.0110085205148699,40,90,Shot
23,0.447343048191535,1,0.0556270484133841,0.124349866703566,0.0556270484133841,42,90,Shot
30,0.506452416345079,1,0.103406680180784,0.204178471349865,0.103406680180784,44,90,Shot
28,0.532236960262594,1,0.0707158380304023,0.132865327495318,0.0707158380304023,46,90,Shot
25,0.499126054345141,1,0.0177905882100967,0.035643477344492,0.0177905882100967,48,90,Shot
28,0.631679622470109,1,0.00164652921309316,0.00260658909124628,0.00164652921309316,50,90,Shot
27,0.669750156001385,0,0,0,0,52,90,Shot
26,0.569944561509587,0,0,0,0,54,90,Shot
22,0.551281472301176,0,0,0,0,56,90,Shot
16,0.398958337934117,0,0,0,0,58,90,Shot
9,0.212608269842932,0,0,0,0,60,90,Shot
7,0.0842365278904647,0,0,0,0,62,90,Shot
4,0.016749504311454,0,0,0,0,64,90,Shot
1,0.00131714901704496,0,0,0,0,66,90,Shot
4,0.00153656553192276,0,0,0,0,16,92,Shot
8,0.0231163557172182,0,0,0,0,18,92,Shot
11,0.14223595651228,0,0,0,0,20,92,Shot
15,0.436169936974649,0,0,0,0,22,92,Shot
20,0.80114853019679,0,0,0,0,24,92,Shot
22,1.0291814170108,0,0,0,0,26,92,Shot
22,1.08062905249663,0,0,0,0,28,92,Shot
21,0.874978910436315,0,0,0,0,30,92,Shot
18,0.559530501342088,0,0,0,0,32,92,Shot
20,0.446296866498119,0,0,0,0,34,92,Shot
21,0.405750174894032,0,0,0,0,36,92,Shot
22,0.371699624151947,1,0.00151993803140941,0.00408915676166536,0.00151993803140941,38,92,Shot
25,0.349033863853495,1,0.0208774486658872,0.0598149659044269,0.0208774486658872,40,92,Shot
27,0.355841115344863,1,0.105495633688154,0.296468365062067,0.105495633688154,42,92,Shot
29,0.568531692871695,1,0.196108791755259,0.344939067098791,0.196108791755259,44,92,Shot
30,0.822152373219277,1,0.134111234688684,0.163122115871963,0.134111234688684,46,92,Shot
28,0.947586198660482,1,0.0337395103720366,0.0356057426962646,0.0337395103720366,48,92,Shot
30,0.965131599453709,1,0.0031226111698482,0.00323542527424829,0.0031226111698482,50,92,Shot
30,0.766880657392272,1,0.000106316962459161,0.00013863560312068,0.000106316962459161,52,92,Shot
30,0.581759848271624,0,0,0,0,54,92,Shot
24,0.617836526525953,0,0,0,0,56,92,Shot
17,0.583766634065005,0,0,0,0,58,92,Shot
11,0.390213762576118,0,0,0,0,60,92,Shot
9,0.1584199123225,0,0,0,0,62,92,Shot
5,0.0302819465150509,0,0,0,0,64,92,Shot
2,0.00230329540817915,0,0,0,0,66,92,Shot
5,0.00491387565128925,0,0,0,0,16,94,Shot
8,0.0674200631357151,0,0,0,0,18,94,Shot
12,0.362661826204502,0,0,0,0,20,94,Shot
19,0.842239092997071,0,0,0,0,22,94,Shot
22,1.05295413119021,0,0,0,0,24,94,Shot
24,0.988740211346641,0,0,0,0,26,94,Shot
29,0.917413195927201,0,0,0,0,28,94,Shot
28,0.838309080843034,0,0,0,0,30,94,Shot
24,0.554104940780717,0,0,0,0,32,94,Shot
22,0.355754583120043,0,0,0,0,34,94,Shot
19,0.389766864640094,0,0,0,0,36,94,Shot
21,0.44259997758752,1,0.00106042478160935,0.00239589885970942,0.00106042478160935,38,94,Shot
23,0.418501699578017,1,0.0145657016829527,0.0348044027004899,0.0145657016829527,40,94,Shot
27,0.371556722008627,1,0.0736018061280865,0.198090363512189,0.0736018061280865,42,94,Shot
25,0.499290953117323,1,0.136820461342038,0.274029522241089,0.136820461342038,44,94,Shot
27,0.853671757208332,1,0.0935662335024509,0.109604461799732,0.0935662335024509,46,94,Shot
29,1.2548764260248,1,0.0235392576397979,0.0187582276243452,0.0235392576397979,48,94,Shot
31,1.3272348103288,1,0.00217857188872806,0.00164143667102007,0.00217857188872806,50,94,Shot
32,1.03682676383838,1,0.0000741748277675393,0.0000715402325195976,0.0000741748277675393,52,94,Shot
31,0.849271180676258,0,0,0,0,54,94,Shot
25,0.805163887021473,0,0,0,0,56,94,Shot
20,0.693510232326133,0,0,0,0,58,94,Shot
14,0.443204926452905,0,0,0,0,60,94,Shot
9,0.157408813544291,0,0,0,0,62,94,Shot
6,0.0257267132289981,0,0,0,0,64,94,Shot
3,0.00172765054399411,0,0,0,0,66,94,Shot
1,0.0000916910564709056,0,0,0,0,14,96,Shot
5,0.00650636862996311,0,0,0,0,16,96,Shot
8,0.0867006318267228,0,0,0,0,18,96,Shot
15,0.450298522667599,0,0,0,0,20,96,Shot
17,0.971895895057781,0,0,0,0,22,96,Shot
25,1.05945857860717,1,0.000107514405603064,0.000101480518232633,0.000107514405603064,24,96,Shot
29,0.858167069731318,1,0.000501510650367124,0.00058439745366149,0.000501510650367124,26,96,Shot
31,0.736189897686988,1,0.000860595717488775,0.00116898604584585,0.000860595717488775,28,96,Shot
33,0.68371125698075,1,0.000543280001843962,0.000794604442002421,0.000543280001843962,30,96,Shot
28,0.470308232809481,1,0.000126169323763418,0.00026826943472735,0.000126169323763418,32,96,Shot
24,0.354808115934962,0,0,0,0,34,96,Shot
21,0.47722350957083,0,0,0,0,36,96,Shot
20,0.645947333297824,1,0.000272169448348662,0.000421349287037266,0.000272169448348662,38,96,Shot
22,0.769581459655959,1,0.00373844431082036,0.00485776296182035,0.00373844431082036,40,96,Shot
26,0.68179479317488,1,0.0188906967460197,0.02770730568072,0.0188906967460197,42,96,Shot
28,0.525343128704231,1,0.0351164459111915,0.0668447800922168,0.0351164459111915,44,96,Shot
29,0.668701051874982,1,0.0240147821873569,0.0359125832388351,0.0240147821873569,46,96,Shot
29,1.00633205324363,1,0.00604160415474046,0.00600358910885032,0.00604160415474046,48,96,Shot
29,1.05797540365062,1,0.00055915395361012,0.000528513188190119,0.00055915395361012,50,96,Shot
31,0.995795215710537,0,0,0,0,52,96,Shot
29,1.03894119886013,0,0,0,0,54,96,Shot
25,0.899124132623247,0,0,0,0,56,96,Shot
18,0.657025399973032,0,0,0,0,58,96,Shot
15,0.399682235774451,0,0,0,0,60,96,Shot
10,0.130609206468647,0,0,0,0,62,96,Shot
6,0.0187944453418446,0,0,0,0,64,96,Shot
5,0.00163957527083927,0,0,0,0,66,96,Shot
1,0.000855105492357224,0,0,0,0,68,96,Shot
1,0.000584773647028635,0,0,0,0,70,96,Shot
1,0.00014711650798694,0,0,0,0,72,96,Shot
6,0.0035750824490063,0,0,0,0,16,98,Shot
9,0.0467470576777561,0,0,0,0,18,98,Shot
15,0.2456499185688,0,0,0,0,20,98,Shot
21,0.575569862390845,1,0.000139438667376601,0.000242261932890979,0.000139438667376601,22,98,Shot
32,0.794212652346636,1,0.00176803642294684,0.00222614990799112,0.00176803642294684,24,98,Shot
31,0.869287878317699,1,0.00824716549723049,0.00948726618987362,0.00824716549723049,26,98,Shot
33,0.776418758836552,1,0.0141521925868217,0.0182275253215526,0.0141521925868217,28,98,Shot
32,0.622445329874165,1,0.00893404772812489,0.0143531444439161,0.00893404772812489,30,98,Shot
29,0.451004675660546,2,0.00215128962424925,0.00476999406070114,0.00215128962424925,32,98,Shot
29,0.414690775146975,2,0.000381037999186296,0.000918848505977129,0.000381037999186296,34,98,Shot
28,0.540828712558599,1,0.000199741662519773,0.000369325181673173,0.000199741662519773,36,98,Shot
28,0.683202223184648,1,0.0000720258328463887,0.000105423885347812,0.0000720258328463887,38,98,Shot
29,0.876143287579244,1,0.000352984746234605,0.000402884723582019,0.000352984746234605,40,98,Shot
35,0.895015542856056,1,0.00178366380309284,0.00199288584129059,0.00178366380309284,42,98,Shot
36,0.657183893259749,1,0.00331570266079558,0.00504531942246652,0.00331570266079558,44,98,Shot
41,0.562820331296837,1,0.00226748109414082,0.00402878319785667,0.00226748109414082,46,98,Shot
40,0.645202173384803,2,0.000760982505348736,0.00117944814314021,0.000760982505348737,48,98,Shot
35,0.659052516141042,1,0.000487760664622279,0.000740093775042799,0.000487760664622279,50,98,Shot
35,0.8345693704993,1,0.000459355694818744,0.000550410440469345,0.000459355694818744,52,98,Shot
32,1.03166852227973,1,0.000159146449478155,0.000154261224454615,0.000159146449478155,54,98,Shot
30,0.839765890174688,0,0,0,0,56,98,Shot
22,0.511724965645822,0,0,0,0,58,98,Shot
19,0.302510969238882,0,0,0,0,60,98,Shot
14,0.123254847878184,0,0,0,0,62,98,Shot
7,0.0290376664723548,0,0,0,0,64,98,Shot
4,0.0106417814691451,0,0,0,0,66,98,Shot
2,0.0142071531910518,0,0,0,0,68,98,Shot
1,0.00961639606643207,0,0,0,0,70,98,Shot
1,0.00241927900804251,0,0,0,0,72,98,Shot
1,0.000223905669352984,0,0,0,0,74,98,Shot
1,0.0000931885485213341,0,0,0,0,14,100,Shot
4,0.00212250123238812,0,0,0,0,16,100,Shot
11,0.0203483076294062,1,0.00012229361629086,0.0060100141258985,0.00012229361629086,18,100,Shot
18,0.10129804013423,1,0.000397989190035062,0.00392889328863311,0.000397989190035062,20,100,Shot
25,0.321285337229411,2,0.00132003434918073,0.00410860439683923,0.00132003434918073,22,100,Shot
31,0.681618229792572,2,0.0109058537478266,0.0159999443546946,0.0109058537478266,24,100,Shot
38,0.980135945946612,1,0.0498924438389142,0.0509035956136965,0.0498924438389142,26,100,Shot
39,0.977277498463297,1,0.0856157759987493,0.0876064128493436,0.0856157759987493,28,100,Shot
38,0.785915686984506,3,0.0543853423248511,0.0691999704618738,0.0543853423248511,30,100,Shot
35,0.602004635664593,3,0.0149278633767728,0.0247969242965928,0.0149278633767728,32,100,Shot
37,0.503290555516639,4,0.00735987108329228,0.0146235032678831,0.00735987108329228,34,100,Shot
36,0.505484191905822,4,0.00633894756256381,0.0125403477775717,0.00633894756256381,36,100,Shot
37,0.519924771450549,4,0.00321457784524726,0.00618277493545624,0.00321457784524726,38,100,Shot
37,0.660416320327544,2,0.00186316712903663,0.00282120091779767,0.00186316712903663,40,100,Shot
41,0.781009833387713,2,0.00130510000050428,0.00167104170102861,0.00130510000050428,42,100,Shot
45,0.73060448921481,3,0.000944503370230147,0.00129276973269794,0.000944503370230147,44,100,Shot
52,0.678411518137719,3,0.00102963476669255,0.00151771415897972,0.00102963476669255,46,100,Shot
48,0.62330809721825,3,0.00388671540304532,0.00623562475827167,0.00388671540304532,48,100,Shot
44,0.564791375303779,3,0.0100141861250269,0.0177307702682971,0.0100141861250269,50,100,Shot
37,0.66805503067855,3,0.00986007389686577,0.0147593737702279,0.00986007389686577,52,100,Shot
41,0.857174455493423,3,0.00365949994144058,0.00426925921320652,0.00365949994144058,54,100,Shot
29,0.740399696298616,2,0.000472934648887423,0.000638755865584094,0.000472934648887423,56,100,Shot
24,0.419309231892427,0,0,0,0,58,100,Shot
21,0.275261769907992,0,0,0,0,60,100,Shot
12,0.182674639804432,0,0,0,0,62,100,Shot
7,0.0722136606607194,0,0,0,0,64,100,Shot
3,0.0546593657408368,0,0,0,0,66,100,Shot
2,0.085551816476453,0,0,0,0,68,100,Shot
1,0.0581758060800812,0,0,0,0,70,100,Shot
1,0.0146357851167118,0,0,0,0,72,100,Shot
1,0.00135455036486896,0,0,0,0,74,100,Shot
1,0.000510109212117202,0,0,0,0,14,102,Shot
5,0.00854460675569294,1,0.00026678013218599,0.0312220491608048,0.00026678013218599,16,102,Shot
12,0.0556133565469528,1,0.00236001875305931,0.0424361861896756,0.00236001875305931,18,102,Shot
20,0.179453147934735,1,0.00768038414829205,0.0427988265276089,0.00768038414829205,20,102,Shot
29,0.432334453877152,3,0.0111754236252174,0.0258490238864768,0.0111754236252174,22,102,Shot
38,0.834471989150241,3,0.0280879779765396,0.0336595815578449,0.0280879779765396,24,102,Shot
40,1.17596210959116,3,0.111889127157993,0.0951468812178762,0.111889127157993,26,102,Shot
43,1.22924686899574,4,0.190794017899874,0.155212124360135,0.190794017899874,28,102,Shot
48,0.998854329909646,4,0.124126118077425,0.12426848876818,0.124126118077425,30,102,Shot
48,0.773718859125017,5,0.0533154182791942,0.0689079988815157,0.0533154182791942,32,102,Shot
53,0.662014388096918,6,0.0676716449151355,0.102220806876524,0.0676716449151355,34,102,Shot
55,0.678614446860559,7,0.0667725944546108,0.0983954803254155,0.0667725944546108,36,102,Shot
57,0.771024882854108,7,0.037582478813761,0.0487435355842754,0.037582478813761,38,102,Shot
61,1.08662791749478,7,0.0269543156935259,0.0248054695260077,0.0269543156935259,40,102,Shot
63,1.32119838857537,5,0.019339779815704,0.0146380588887622,0.019339779815704,42,102,Shot
61,1.24499630442955,4,0.0142940829437283,0.011481225199522,0.0142940829437283,44,102,Shot
59,1.07411002276315,4,0.0119797226817037,0.011153161620153,0.0119797226817037,46,102,Shot
60,0.950563570535341,4,0.0305149873129896,0.0321019953413574,0.0305149873129896,48,102,Shot
51,0.924158382256175,4,0.0780884669470891,0.08449684431412,0.0780884669470891,50,102,Shot
42,0.871448136574915,4,0.0812706627976476,0.0932593224848339,0.0812706627976476,52,102,Shot
36,0.885204840385699,4,0.0332756811395621,0.0375909389797996,0.0332756811395621,54,102,Shot
31,0.798109046158635,4,0.00659181087638793,0.00825928600623545,0.00659181087638793,56,102,Shot
26,0.554441840956333,4,0.00157315591556881,0.00283736868208817,0.00157315591556881,58,102,Shot
