"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",8,50,42,70,"Pass",0.535673585162774,0.0272379845979266,1.61142340442661
"2",6,44,70,54,"Pass",0.0503246482977893,0.0225722414571523,14.2144109536112
"3",24,72,74,74,"Pass",0.659516302793252,0.0194235916839437,0.933337967028629
"4",4,38,30,64,"Pass",0.320119833798818,0.0193149881913328,1.91212725799535
"5",12,44,20,66,"Pass",0.130173763589278,0.0158753322343759,3.86486465488129
"6",28,34,36,60,"Pass",0.481313808033042,0.0151007609202906,0.994272526079686
"7",6,60,22,72,"Pass",0.420343473648482,0.0146773365841621,1.10656740413089
"8",12,46,20,8,"Pass",0.391504460740417,0.0141388370284424,1.14448973608042
"9",8,42,16,18,"Pass",0.14740828841501,0.0140031059756221,3.01049146542525
"10",10,44,34,62,"Pass",0.147200279439204,0.013823690965691,2.97611912209406
"11",6,44,66,64,"Pass",0.0517520593560097,0.00975761190941044,5.97517780128975
"12",12,30,24,62,"Pass",0.0664307149747623,0.0087791160077444,4.18809755701465
"13",24,30,28,60,"Pass",0.211288249390533,0.00861891461207478,1.29274290132569
"14",6,36,40,42,"Pass",0.16260489308881,0.0083693386244243,1.63114458216678
"15",10,32,74,18,"Pass",0.153747259172962,0.00822418434950993,1.69519780985672
"16",24,36,32,36,"Pass",0.246848307225739,0.00810389734798662,1.04039607746426
"17",16,28,78,46,"Pass",0.145942051444718,0.00744920530374665,1.6175749974124
"18",20,50,36,24,"Pass",0.200472967881354,0.0072829322270124,1.15129170864764
"19",8,36,56,6,"Pass",0.122502385048096,0.00586365597737761,1.51690668847981
"20",8,42,50,14,"Pass",0.088878149230955,0.00484059170494976,1.72599040919032
"21",12,28,34,20,"Pass",0.0411018471508398,0.00421689278637285,3.25136815481985
"22",30,32,72,62,"Pass",0.124550998399257,0.00380486624353644,0.968115357015787
"23",8,36,58,18,"Pass",0.0904418044904363,0.00341186673269348,1.19552254075551
"24",14,38,22,52,"Pass",0.0231185751198088,0.00332001800311113,4.5510782591088
