GoalProbability,WeightedExpectedGoals,WeightedCount
0,0,138952.437
0.03,0,2487.963
0.06,0,503.588
0.01,0,13465.758
0.04,0,1623.356
0.07,0,352.083
0.09,0,222.598
0.08,0,357.957
0.02,0,4947.349
0.05,0,848.611
0.09,0.000909090909090909,228.308
0.11,0,73.09
0.16,0,16.482
0.18,0,13.8
0.13,0,33.959
0.21,0,8.848
0.22,0,7.449
0.1,0,80.29
0.2,0,10.159
0.19,0,11.69
0.15,0,21.443
0.14,0,31.465
0.17,0,18.651
0.12,0,102.07
0.24,0,8.21
0.28,0,3.779
0.23,0,7.611
0.33,0,2.513
0.34,0,2.825
0.26,0,6.758
0.25,0,6.989
0.31,0,2.557
0.37,0,2.318
0.32,0,2.817
0.41,0.000909090909090909,2.482
0.42,0.000909090909090909,2.355
0.3,0,3.063
0.36,0.000909090909090909,3.654
0.29,0,2.979
0.35,0,1.891
0.37,0.000909090909090909,2.245
0.43,0.00181818181818182,3.044
0.27,0.000909090909090909,6.41
0.24,0.000909090909090909,9.744
0.36,0.00181818181818182,3.148
0.44,0.00272727272727273,3.781
0.45,0.00181818181818182,1.747
0.17,0.000909090909090909,29.969
0.31,0.00181818181818182,4.761
0.41,0.00272727272727273,2.939
0.22,0.000909090909090909,12.74
0.34,0.00181818181818182,2.781
0.38,0.00181818181818182,4.035
0.32,0.000909090909090909,3.544
0.15,0.000909090909090909,42.224
0.11,0.000909090909090909,94.065
0.14,0.000909090909090909,46.096
0.16,0.000909090909090909,27.874
0.12,0.000909090909090909,109.841
0.19,0.000909090909090909,17.62
0.29,0.000909090909090909,4.876
0.4,0.00272727272727273,2.938
0.45,0.00363636363636364,2.714
0.44,0.00363636363636364,3.93
0.27,0.00181818181818182,5.488
0.39,0.00363636363636364,4.796
0.45,0.00545454545454545,3.256
0.21,0.00181818181818182,17.145
0.2,0.000909090909090909,12.883
0.46,0.00545454545454545,0.376
0.25,0.000909090909090909,10.446
0.34,0.00363636363636364,4.65
0.43,0.00545454545454545,4.323
0.44,0.00545454545454545,3.336
0.38,0.00363636363636364,2.751
0.23,0.00181818181818182,13.019
0.26,0.00272727272727273,7.233
0.37,0.00363636363636364,1.776
0.4,0.00363636363636364,3.565
0.33,0.00272727272727273,3.451
0.25,0.00181818181818182,13.061
0.29,0.00181818181818182,5.574
0.18,0.000909090909090909,19.854
0.15,0.00181818181818182,34.179
0.17,0.00181818181818182,26.518
0.37,0.00181818181818182,3.44
0.41,0.00181818181818182,1.878
0.4,0.00181818181818182,1.817
0.32,0.00181818181818182,4.33
0.3,0.00181818181818182,4.366
0.27,0.00272727272727273,7.957
0.38,0.00545454545454545,5.918
0.44,0.00818181818181818,4.227
0.1,0.000909090909090909,122.964
0.22,0.00272727272727273,9.804
0.39,0.00545454545454545,3.805
0.28,0.00272727272727273,6.954
0.34,0.00545454545454545,6.971
0.42,0.00818181818181818,2.563
0.43,0.00818181818181818,3.116
0.25,0.00272727272727273,15.212
0.27,0.00454545454545455,6.753
0.36,0.00545454545454545,3.103
0.33,0.00363636363636364,4.147
0.24,0.00181818181818182,11.751
0.13,0.000909090909090909,49.536
0.08,0.000909090909090909,308.603
0.14,0.00181818181818182,48.508
0.15,0.00272727272727273,48.507
0.11,0.00181818181818182,91.46
0.06,0.000909090909090909,538.822
0.28,0.000909090909090909,6.109
0.37,0.00272727272727273,3.83
0.39,0.00636363636363636,3.223
0.37,0.00454545454545455,5.377
0.24,0.00272727272727273,16.2
0.39,0.00818181818181818,2.066
0.2,0.00272727272727273,21.622
0.21,0.00363636363636364,16.651
0.24,0.00363636363636364,10.539
0.22,0.00181818181818182,13.147
0.12,0.00181818181818182,87.212
0.4,0.00909090909090909,3.793
0.31,0.00636363636363636,6.197
0.38,0.00909090909090909,3.947
0.39,0.00909090909090909,4.576
0.36,0.00636363636363636,3.554
0.24,0.00454545454545455,12.71
0.32,0.00636363636363636,6.629
0.34,0.00636363636363636,3.168
0.32,0.00454545454545455,6.828
0.31,0.00272727272727273,6.685
0.21,0.000909090909090909,11.156
0.37,0.00636363636363636,3.414
0.3,0.00363636363636364,4.606
0.27,0.00363636363636364,6.113
0.02,0.000909090909090909,2656.961
0.03,0.000909090909090909,1758.075
0.04,0.000909090909090909,1254.217
0.04,0.00181818181818182,642.195
0.05,0.00181818181818182,485.856
0.1,0.00181818181818182,125.652
0.07,0.000909090909090909,391.807
0.09,0.00181818181818182,156.71
0.05,0.000909090909090909,826.373
0.31,0.00545454545454545,4.121
0.33,0.00545454545454545,6.01
0.33,0.00454545454545455,5.309
0.16,0.00181818181818182,39.26
0.26,0.00454545454545455,4.665
0.32,0.00727272727272727,4.529
0.34,0.00818181818181818,3.187
0.33,0.00636363636363636,5.147
0.31,0.00727272727272727,4.636
0.33,0.00818181818181818,1.584
0.28,0.00363636363636364,6.997
0.19,0.00363636363636364,14.05
0.25,0.00545454545454545,10.12
0.28,0.00545454545454545,6.705
0.28,0.00454545454545455,8.327
0.16,0.00272727272727273,36.899
0.19,0.00272727272727273,19.191
0.19,0.00181818181818182,20.304
0.03,0.00181818181818182,895.044
0.02,0.00181818181818182,1550.452
0.05,0.00363636363636364,216.087
0.06,0.00363636363636364,181.077
0.06,0.00181818181818182,398.46
0.07,0.00181818181818182,326.187
0.26,0.00181818181818182,10.309
0.23,0.00363636363636364,14.283
0.29,0.00363636363636364,4.88
0.17,0.00272727272727273,28.026
0.24,0.00545454545454545,12.227
0.26,0.000909090909090909,8.435
0.29,0.00272727272727273,6.038
0.28,0.00636363636363636,7.57
