Count,WeightedCount,Goals,WeightedGoals,GoalProbability,y,x,event,WeightedProbabiliticGoals
23,0.622397695410606,2,0.0248061415707924,0.0398557734929069,54,88,Shot,0.0248061415707924
20,0.511162860249002,1,0.00219782792363699,0.00429966277785982,56,88,Shot,0.00219782792363699
18,0.393584629680102,1,0.000071896302959136,0.000182670504733815,58,88,Shot,0.000071896302959136
13,0.218683527691117,0,0,0,60,88,Shot,0
8,0.086642813601771,0,0,0,62,88,Shot,0
6,0.0191925026785216,0,0,0,64,88,Shot,0
3,0.0024736833838927,0,0,0,66,88,Shot,0
1,0.00110989960492198,0,0,0,68,88,Shot,0
1,0.000597064318756309,0,0,0,70,88,Shot,0
1,0.000118158251951118,0,0,0,72,88,Shot,0
3,0.00113797573799713,0,0,0,16,90,Shot,0
5,0.0155417616240619,0,0,0,18,90,Shot,0
12,0.0915089132776713,0,0,0,20,90,Shot,0
20,0.256591764446408,0,0,0,22,90,Shot,0
24,0.415646742230396,0,0,0,24,90,Shot,0
31,0.599833044172503,0,0,0,26,90,Shot,0
38,0.940788773637158,0,0,0,28,90,Shot,0
43,1.21902383142466,0,0,0,30,90,Shot,0
39,1.20234171476414,0,0,0,32,90,Shot,0
44,1.01651779132535,1,0.000175743376723991,0.000172887654523838,34,90,Shot,0.000175743376723991
52,0.976007911605931,1,0.000172263424707306,0.000176497979841026,36,90,Shot,0.000172263424707306
48,0.858752053325786,1,0.000220704531224304,0.000257006117620979,38,90,Shot,0.000220704531224304
46,0.734820990447592,1,0.000378730490096198,0.000515405105487674,40,90,Shot,0.000378730490096198
44,0.813777781831968,1,0.000239086364452552,0.000293798097945515,42,90,Shot,0.000239086364452552
38,0.696816318973142,1,0.00166108261120226,0.00238381703466718,44,90,Shot,0.00166108261120226
30,0.648112284477806,1,0.0219215367146422,0.0338236710515443,46,90,Shot,0.0219215367146422
28,0.869070769643162,2,0.106605105359264,0.122665620664052,48,90,Shot,0.106605105359264
31,0.979848494534368,2,0.191268154744691,0.195201764162105,50,90,Shot,0.191268154744691
28,0.87343428200862,2,0.127805444130319,0.146325197857368,52,90,Shot,0.127805444130319
27,0.74722367268281,2,0.0328226671918046,0.0439261607892575,54,90,Shot,0.0328226671918046
24,0.782304408056997,2,0.003561185678849,0.00455217386246601,56,90,Shot,0.003561185678849
21,0.740178889151346,2,0.00019517833348599,0.000263690759553778,58,90,Shot,0.00019517833348599
15,0.510594930251844,0,0,0,60,90,Shot,0
13,0.246937350616149,0,0,0,62,90,Shot,0
10,0.063451746054649,0,0,0,64,90,Shot,0
5,0.0175325578157828,0,0,0,66,90,Shot,0
3,0.0170534215817929,0,0,0,68,90,Shot,0
1,0.00906362875968463,0,0,0,70,90,Shot,0
1,0.00179368034051843,0,0,0,72,90,Shot,0
1,0.000130585063787031,0,0,0,74,90,Shot,0
1,0.000110302307272935,0,0,0,14,92,Shot,0
5,0.00359433003704535,0,0,0,16,92,Shot,0
9,0.0287916858927871,0,0,0,18,92,Shot,0
15,0.114891329011871,0,0,0,20,92,Shot,0
22,0.31489777645825,0,0,0,22,92,Shot,0
30,0.644643288592183,0,0,0,24,92,Shot,0
40,0.946271081899538,0,0,0,26,92,Shot,0
40,1.16954120888217,0,0,0,28,92,Shot,0
47,1.39245491929206,1,0.000227926872805581,0.000163687074998063,30,92,Shot,0.000227926872805581
55,1.51485157231651,1,0.00165081575914231,0.00108975413123669,32,92,Shot,0.00165081575914231
61,1.3539571980003,3,0.00471338488605596,0.0034811919409397,34,92,Shot,0.00471338488605596
62,1.15744810914094,3,0.0058172393588324,0.0050259180631,36,92,Shot,0.0058172393588324
62,1.0374670566338,3,0.00658320751739576,0.00634546174290667,38,92,Shot,0.00658320751739576
59,0.968697735001166,4,0.00850655938087217,0.00878143828927392,40,92,Shot,0.00850655938087217
54,0.959571895942297,2,0.00621306807488375,0.00647483330968394,42,92,Shot,0.00621306807488375
44,0.801201552974362,3,0.00399191925404901,0.0049824157719484,44,92,Shot,0.00399191925404901
40,0.840288037511628,4,0.0113704840827397,0.0135316505473665,46,92,Shot,0.0113704840827397
35,1.15810506217743,3,0.050039480987986,0.0432080668863527,48,92,Shot,0.050039480987986
33,1.15641422134123,2,0.0981980628491647,0.084915993799586,50,92,Shot,0.0981980628491647
30,0.945789665733536,2,0.0875709465351829,0.0925902975132051,52,92,Shot,0.0875709465351829
31,0.88044753497267,2,0.0420238282736577,0.0477300765853835,54,92,Shot,0.0420238282736577
26,0.965010188673901,2,0.0106794201196184,0.0110666397567199,56,92,Shot,0.0106794201196184
20,0.946196706489951,1,0.00116005749113974,0.00122602148494379,58,92,Shot,0.00116005749113974
17,0.751354290391892,0,0,0,60,92,Shot,0
13,0.417082862809695,0,0,0,62,92,Shot,0
10,0.127196094762007,0,0,0,64,92,Shot,0
5,0.0760982005299286,0,0,0,66,92,Shot,0
4,0.0945208495321717,0,0,0,68,92,Shot,0
1,0.0506160927980898,0,0,0,70,92,Shot,0
1,0.0100168589174375,0,0,0,72,92,Shot,0
1,0.00072925600572798,0,0,0,74,92,Shot,0
3,0.000840071888636814,0,0,0,14,94,Shot,0
3,0.0155442343803471,0,0,0,16,94,Shot,0
11,0.109888525201991,0,0,0,18,94,Shot,0
18,0.326928235841275,0,0,0,20,94,Shot,0
22,0.636589244041284,0,0,0,22,94,Shot,0
31,1.20712791528253,0,0,0,24,94,Shot,0
40,1.64423688565014,0,0,0,26,94,Shot,0
46,1.63225507789287,1,0.000106593746224528,0.0000653045885218709,28,94,Shot,0.000106593746224528
53,1.70656383324224,1,0.00209859813114684,0.00122972143805473,30,94,Shot,0.00209859813114684
66,1.96617164687665,2,0.0159551409385117,0.00811482607017409,32,94,Shot,0.0159551409385117
69,1.90339680988876,3,0.0455788329867377,0.0239460488480074,34,94,Shot,0.0455788329867377
73,1.7878242687967,4,0.0572224607678853,0.0320067591466353,36,94,Shot,0.0572224607678853
67,1.83731554634326,5,0.0586917530763,0.0319442967720554,38,94,Shot,0.0586917530763
62,1.69940380024764,5,0.0699426677840359,0.0411571798143819,40,94,Shot,0.0699426677840359
56,1.38405194789386,5,0.055068766681725,0.0397880778720223,42,94,Shot,0.055068766681725
49,1.0436197541612,4,0.0352845787246976,0.0338098034116434,44,94,Shot,0.0352845787246976
43,1.01057877113102,4,0.0191663942478813,0.0189657598154676,46,94,Shot,0.0191663942478813
39,1.17783044626356,4,0.0196065313520664,0.0166463105231015,48,94,Shot,0.0196065313520664
33,1.0396653378631,4,0.0664197665304961,0.0638857179436352,50,94,Shot,0.0664197665304961
30,0.916195039337886,3,0.135908478256853,0.148340115828472,52,94,Shot,0.135908478256853
34,1.04203499706028,3,0.116198023103587,0.111510672320408,54,94,Shot,0.116198023103587
31,1.12433349882404,3,0.0380130056414335,0.0338093685558528,56,94,Shot,0.0380130056414335
18,1.04023997384387,1,0.00461111440951883,0.00443274102655367,58,94,Shot,0.00461111440951883
17,0.843830409697314,1,0.000207727026294264,0.000246171533885318,60,94,Shot,0.000207727026294264
14,0.486930246935499,0,0,0,62,94,Shot,0
9,0.16749845622302,0,0,0,64,94,Shot,0
6,0.14710513607592,0,0,0,66,94,Shot,0
4,0.193907285280672,0,0,0,68,94,Shot,0
1,0.103987382037428,0,0,0,70,94,Shot,0
1,0.020578967626318,0,0,0,72,94,Shot,0
1,0.00149820775722907,0,0,0,74,94,Shot,0
3,0.00166422564010422,0,0,0,14,96,Shot,0
4,0.0303757546991922,0,0,0,16,96,Shot,0
14,0.20808469799168,0,0,0,18,96,Shot,0
20,0.574257899356839,0,0,0,20,96,Shot,0
31,0.932050920643639,0,0,0,22,96,Shot,0
41,1.53418098260318,1,0.0000843036232237331,0.0000549502465352475,24,96,Shot,0.0000843036232237331
53,1.96859458845809,1,0.000363007989694258,0.000184399566991894,26,96,Shot,0.000363007989694258
64,1.82596021409153,2,0.000936084542512286,0.000512653307168589,28,96,Shot,0.000936084542512286
72,1.73762737671378,4,0.00785016216460227,0.00451774774603781,30,96,Shot,0.00785016216460227
83,1.89937458892702,4,0.0570972916804636,0.0300611011715801,32,96,Shot,0.0570972916804636
78,2.09380539972929,5,0.170550360919813,0.0814547335401198,34,96,Shot,0.170550360919813
83,2.44424677320079,5,0.226124508102362,0.092512961695045,36,96,Shot,0.226124508102362
73,2.79693590975889,5,0.215328372342071,0.0769872386388119,38,96,Shot,0.215328372342071
73,2.69893888237494,5,0.231173680038029,0.0856535438974472,40,96,Shot,0.231173680038029
67,2.15481676521738,6,0.195971697754867,0.0909458757320823,42,96,Shot,0.195971697754867
61,1.3712118750928,6,0.148478832955548,0.108282925237575,44,96,Shot,0.148478832955548
61,0.906962347491798,8,0.0795160439088788,0.087672927248612,46,96,Shot,0.0795160439088788
55,0.801948791125205,7,0.0346521992997269,0.0432099900682022,48,96,Shot,0.0346521992997269
43,0.722952752754512,6,0.0930029767238113,0.128643229269772,50,96,Shot,0.0930029767238113
38,0.769289486040027,4,0.205236313171122,0.266786842788649,52,96,Shot,0.205236313171122
37,0.913379676261488,3,0.176775277332219,0.193539753430654,54,96,Shot,0.176775277332219
30,0.875759467942885,2,0.0571962620365897,0.0653104695184636,56,96,Shot,0.0571962620365897
22,0.73839372236485,2,0.00689201185337791,0.0093337898801535,58,96,Shot,0.00689201185337791
19,0.607732847234461,1,0.000303756029359101,0.000499818350680514,60,96,Shot,0.000303756029359101
13,0.365454641529175,0,0,0,62,96,Shot,0
9,0.130262839755171,0,0,0,64,96,Shot,0
6,0.112080691456844,0,0,0,66,96,Shot,0
4,0.146628250210048,0,0,0,68,96,Shot,0
1,0.0785919726604335,0,0,0,70,96,Shot,0
1,0.0155532491479148,0,0,0,72,96,Shot,0
1,0.00113232106423658,0,0,0,74,96,Shot,0
3,0.00135168468112778,0,0,0,14,98,Shot,0
7,0.0259111233880484,0,0,0,16,98,Shot,0
13,0.178378710780327,0,0,0,18,98,Shot,0
29,0.492080316915284,0,0,0,20,98,Shot,0
43,0.74598267622613,1,0.000133543176389492,0.000179016457949234,22,98,Shot,0.000133543176389492
54,1.1069756852552,2,0.00198578170754462,0.00179388014930682,24,98,Shot,0.00198578170754462
66,1.38957874259527,2,0.00781269866129653,0.00562235044464269,26,98,Shot,0.00781269866129653
77,1.3656298448206,4,0.0123064813085267,0.00901157905650735,28,98,Shot,0.0123064813085267
87,1.35199635956319,5,0.0179425812487313,0.0132711757112484,30,98,Shot,0.0179425812487313
94,1.54234501645734,4,0.0848803933026968,0.0550333371567285,32,98,Shot,0.0848803933026968
93,2.18364995335335,7,0.261188407911466,0.119610932837641,34,98,Shot,0.261188407911466
87,2.94211097767017,7,0.378033516283749,0.128490569918308,36,98,Shot,0.378033516283749
92,3.22171375297261,10,0.361415916652662,0.11218126263365,38,98,Shot,0.361415916652662
89,3.06775386917274,10,0.363160634068719,0.118379977519725,40,98,Shot,0.363160634068719
84,2.57111581294238,11,0.319504581335359,0.124266896001748,42,98,Shot,0.319504581335359
82,1.65535890207485,11,0.257031339511592,0.155272273094025,44,98,Shot,0.257031339511592
71,0.887061060863411,10,0.151538842671628,0.17083248195353,46,98,Shot,0.151538842671628
65,0.613045296378283,10,0.0812205805514758,0.132487078901521,48,98,Shot,0.0812205805514758
55,0.700489963169829,5,0.133156825694343,0.190090983019638,50,98,Shot,0.133156825694343
45,0.755836122424876,5,0.208874013972744,0.27634828208876,52,98,Shot,0.208874013972744
43,0.651335061317795,3,0.144729142657273,0.222203826037637,54,98,Shot,0.144729142657273
35,0.458321739219514,2,0.0401889973285668,0.0876873032403078,56,98,Shot,0.0401889973285668
28,0.300391455184068,2,0.00436647270087182,0.0145359417703683,58,98,Shot,0.00436647270087182
17,0.246588862420114,1,0.000163403866379573,0.000662657123991197,60,98,Shot,0.000163403866379573
13,0.160714309523635,0,0,0,62,98,Shot,0
7,0.0554672793642324,0,0,0,64,98,Shot,0
5,0.0335198163384089,0,0,0,66,98,Shot,0
2,0.0408345048443786,0,0,0,68,98,Shot,0
1,0.0218514999157981,0,0,0,70,98,Shot,0
1,0.00432438340636218,0,0,0,72,98,Shot,0
1,0.000314827491946625,0,0,0,74,98,Shot,0
3,0.000554979982210016,0,0,0,14,100,Shot,0
8,0.0157760567641702,0,0,0,16,100,Shot,0
23,0.129001276337464,0,0,0,18,100,Shot,0
36,0.435680249106196,0,0,0,20,100,Shot,0
48,0.784856991068278,2,0.00181470759627631,0.00231215064263656,22,100,Shot,0.00181470759627631
62,1.14149912147029,2,0.016951249034376,0.0148499886820256,24,100,Shot,0.016951249034376
73,1.38158158266201,2,0.0620101948708035,0.0448834840077437,26,100,Shot,0.0620101948708035
87,1.44377258302507,4,0.0894445743321411,0.0619519828702744,28,100,Shot,0.0894445743321411
91,1.60184923287274,5,0.0654294527307176,0.0408461991228582,30,100,Shot,0.0654294527307176
99,1.9419648707847,6,0.0983418764498865,0.0506403992828916,32,100,Shot,0.0983418764498865
104,2.60019385346047,9,0.220652515140202,0.0848600248964308,34,100,Shot,0.220652515140202
111,3.12899856874975,14,0.310179430483354,0.0991305760191806,36,100,Shot,0.310179430483354
111,3.00756735674583,16,0.328943403306968,0.109371915667712,38,100,Shot,0.328943403306968
109,2.61120976452079,18,0.368637392284113,0.141174944002159,40,100,Shot,0.368637392284113
109,2.27294389269752,19,0.339348607014336,0.149299156967574,42,100,Shot,0.339348607014336
101,1.87714059872864,18,0.264723132253424,0.141024669346941,44,100,Shot,0.264723132253424
83,1.44633980518758,12,0.219833379336517,0.151992898589973,46,100,Shot,0.219833379336517
83,1.13671444080248,12,0.219602976520306,0.193190979755015,48,100,Shot,0.219602976520306
67,1.16856255402533,9,0.237951777939582,0.203627762262203,50,100,Shot,0.237951777939582
59,1.15427213261791,8,0.235100878555448,0.203678900245331,52,100,Shot,0.235100878555448
52,0.826428337624933,6,0.121119497921586,0.146557774470404,54,100,Shot,0.121119497921586
40,0.456912663654946,3,0.0252501223815032,0.055262470029878,56,100,Shot,0.0252501223815032
34,0.217998163216284,2,0.00206481039164165,0.00947168710588205,58,100,Shot,0.00206481039164165
23,0.156468535973214,0,0,0,60,100,Shot,0
12,0.0986259565125633,0,0,0,62,100,Shot,0
6,0.0277454333141898,0,0,0,64,100,Shot,0
3,0.00562275883445319,0,0,0,66,100,Shot,0
1,0.00415482190767831,0,0,0,68,100,Shot,0
1,0.00223506333443204,0,0,0,70,100,Shot,0
1,0.000442316126253589,0,0,0,72,100,Shot,0
4,0.000768548870578294,0,0,0,14,102,Shot,0
12,0.0201768427176279,0,0,0,16,102,Shot,0
23,0.190586315339417,0,0,0,18,102,Shot,0
38,0.759576645529025,2,0.000333388645287386,0.000438913764989693,20,102,Shot,0.000333388645287386
51,1.56581118043507,2,0.00723313020393739,0.00461941407387807,22,102,Shot,0.00723313020393739
62,2.2497127850547,2,0.0611815925523765,0.0271952904205454,24,102,Shot,0.0611815925523765
76,2.56917118420558,3,0.203481728253212,0.0792013118877211,26,102,Shot,0.203481728253212
90,2.57215545438027,3,0.269310823575888,0.104702390019726,28,102,Shot,0.269310823575888
105,2.64898608774968,7,0.173560475750925,0.0655195874955932,30,102,Shot,0.173560475750925
103,2.88829593259983,8,0.172995974888618,0.0598955158770383,32,102,Shot,0.172995974888618
111,3.21324124098995,16,0.25212127050968,0.0784632250120148,34,102,Shot,0.25212127050968
129,3.29813016788009,18,0.28213165320809,0.0855429103301382,36,102,Shot,0.28213165320809
137,2.94766701395791,21,0.356684665998047,0.121005752789938,38,102,Shot,0.356684665998047
134,2.57945705837433,22,0.48347657615092,0.187433465729266,40,102,Shot,0.48347657615092
130,2.68894773434179,22,0.507142843432509,0.188602715090202,42,102,Shot,0.507142843432509
122,2.92611783488758,24,0.433421327655049,0.148121624661674,44,102,Shot,0.433421327655049
104,2.82161363427172,24,0.432278775911727,0.153202681848857,46,102,Shot,0.432278775911727
102,2.35190532088548,19,0.456602401881821,0.194141489381856,48,102,Shot,0.456602401881821
81,1.96523838343007,15,0.332333739297379,0.169106069828197,50,102,Shot,0.332333739297379
65,1.92820755055938,10,0.204882727672527,0.106255536450467,52,102,Shot,0.204882727672527
54,1.68291615212636,7,0.0869037922139509,0.0516388128452795,54,102,Shot,0.0869037922139509
41,1.03234949782794,4,0.0161056458183839,0.0156009625153789,56,102,Shot,0.0161056458183839
34,0.472431614387748,3,0.00110467273593033,0.00233827013749269,58,102,Shot,0.00110467273593033
26,0.274809691981126,0,0,0,60,102,Shot,0
10,0.148602185878828,0,0,0,62,102,Shot,0
3,0.0370908365001506,0,0,0,64,102,Shot,0
3,0.00366930055392712,0,0,0,66,102,Shot,0
2,0.000279614594803736,0,0,0,68,102,Shot,0
1,0.0000841015371283124,0,0,0,70,102,Shot,0
4,0.000856083580206678,0,0,0,14,104,Shot,0
12,0.022924558464586,0,0,0,16,104,Shot,0
23,0.224772246332532,0,0,0,18,104,Shot,0
33,0.971192849483492,1,0.000526696691128416,0.000542319366754531,20,104,Shot,0.000526696691128416
44,2.18740676824472,2,0.0120728748763242,0.00551926374718682,22,104,Shot,0.0120728748763242
61,3.15117290964143,2,0.0940261334835017,0.0298384557685858,24,104,Shot,0.0940261334835017
75,3.36788724127502,4,0.284045729091414,0.0843394415377992,26,104,Shot,0.284045729091414
86,3.19046900550097,4,0.340298448271703,0.106660947868468,28,104,Shot,0.340298448271703
102,3.19289479688517,6,0.201333759948805,0.0630568098094608,30,104,Shot,0.201333759948805
110,3.3039771786219,11,0.200095927136358,0.0605621396028586,32,104,Shot,0.200095927136358
119,3.36351750084299,19,0.31801731415051,0.0945490291252553,34,104,Shot,0.31801731415051
132,3.39033131328831,21,0.470061578453401,0.13864768219289,36,104,Shot,0.470061578453401
151,3.37765968444592,25,0.79708828614992,0.235988335302251,38,104,Shot,0.79708828614992
156,3.49057562789078,27,1.08846580964518,0.311829888728954,40,104,Shot,1.08846580964518
152,3.93813574131377,29,0.986033408566973,0.250380757123936,42,104,Shot,0.986033408566974
142,4.22942772404991,31,0.747082558868122,0.176639159624354,44,104,Shot,0.747082558868122
127,3.96085709604831,30,0.654027941915277,0.165122832269761,46,104,Shot,0.654027941915277
109,3.22893745224405,23,0.600488462366939,0.185970918064582,48,104,Shot,0.600488462366939
99,2.51730783424969,19,0.426031304992991,0.169240844999783,50,104,Shot,0.426031304992991
76,2.64533568654317,15,0.262046273488417,0.0990597430872187,52,104,Shot,0.262046273488417
56,2.7319006802948,7,0.109598620286136,0.0401180837490438,54,104,Shot,0.109598620286136
40,1.8706734508824,4,0.0204696239606668,0.0109423822479606,56,104,Shot,0.0204696239606668
32,0.869650266772234,3,0.00147708281126936,0.0016984791101734,58,104,Shot,0.00147708281126936
22,0.34923799970841,0,0,0,60,104,Shot,0
12,0.127620298337241,0,0,0,62,104,Shot,0
4,0.0277337740636222,0,0,0,64,104,Shot,0
1,0.00252608220063402,0,0,0,66,104,Shot,0
1,0.0000895166681451506,0,0,0,68,104,Shot,0
3,0.000475533376455869,0,0,0,14,106,Shot,0
11,0.0153479467859398,0,0,0,16,106,Shot,0
22,0.158548119638953,0,0,0,18,106,Shot,0
31,0.741187566428521,1,0.000390186505560702,0.000526434229652355,20,106,Shot,0.000390186505560702
