"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",68,10,64,24,"Pass",0.236045539596991,0.0381286059930152,5.11905808619171
"2",56,14,56,24,"Pass",0.183555576933695,0.0330361132134155,5.7036949474166
"3",82,2,78,12,"Pass",0.0620144047624339,0.0315309954882284,16.1131344599063
"4",54,10,72,8,"Pass",0.151095068030571,0.0295728007587594,6.20264744894511
"5",114,14,110,38,"Pass",0.14790487194348,0.028577722149976,6.12322274368801
"6",74,8,82,18,"Pass",0.104912337529016,0.0245726860293104,7.42268441536279
"7",74,18,54,48,"Pass",0.647267999173693,0.0233138471173096,1.1414706164776
"8",100,0,88,8,"Pass",0.144590974915638,0.0229717975258472,5.03487533853163
"9",66,28,78,6,"Pass",0.405804332188679,0.0227883284303252,1.77963410189847
"10",68,4,76,4,"Pass",0.060431195577192,0.0225188793705979,11.8092010467823
"11",102,24,112,24,"Pass",0.193809041191159,0.0214861685566575,3.51333752014896
"12",58,12,74,20,"Pass",0.31930908501135,0.019873677904173,1.97243136478396
"13",98,18,104,6,"Pass",0.2363691599249,0.0190016163310455,2.54762006943442
"14",86,10,80,20,"Pass",0.0761160252357999,0.0187588271898272,7.81024233843536
"15",88,0,88,12,"Pass",0.0671022206596388,0.0180424760400956,8.52107077956788
"16",52,2,44,10,"Pass",0.102480652885373,0.0167431769018548,5.1776287916008
"17",78,6,88,28,"Pass",0.169653860397829,0.0165485742228267,3.09123316525486
"18",112,20,106,24,"Pass",0.248172832578322,0.016043400063624,2.04869404009339
"19",86,8,74,22,"Pass",0.105303538592558,0.0159749895338987,4.80764670164658
"20",42,18,48,32,"Pass",0.256050768235092,0.015763923748492,1.95107143500824
"21",72,2,104,22,"Pass",0.318783086297438,0.0156033315532736,1.55116141886863
"22",82,20,82,30,"Pass",0.114986989835785,0.0154402829354368,4.25541066412007
"23",56,4,28,34,"Pass",0.4967304143662,0.0153462528588022,0.979076272608287
"24",78,10,46,68,"Pass",0.48892975,0.0151386423408799,0.981240337786586
