GoalProbability,WeightedExpectedGoals,WeightedCount
0,0,243265.217
0.03,0,6300.825
0.05,0,2470.821
0.01,0,37336.171
0.04,0,2946.918
0.02,0,12400.073
0.14,0,123.223
0.15,0,114.043
0.25,0,42.632
0.29,0,65.772
0.11,0,225.178
0.26,0,55.593
0.13,0,146.242
0.3,0,33.682
0.12,0,225.331
0.24,0,42.735
0.31,0,26.916
0.1,0,321.627
0.23,0,42.271
0.08,0,746.996
0.21,0,92.799
0.28,0,44.382
0.07,0,745.172
0.19,0,98.976
0.09,0,410.527
0.2,0,200.121
0.22,0,44.555
0.18,0,87.99
0.27,0,38.84
0.06,0,1820.945
0.16,0,114.143
0.17,0,214.386
0.01,0.000909090909090909,24509.891
0.02,0.000909090909090909,12899.139
0.03,0.000909090909090909,6154.994
0.04,0.000909090909090909,3343.173
0.04,0.00181818181818182,3015.172
0.03,0.00181818181818182,5520.527
0.28,0.000909090909090909,36.904
0.3,0.000909090909090909,29.26
0.31,0.000909090909090909,20.098
0.27,0.000909090909090909,36.283
0.05,0.000909090909090909,2292.477
0.05,0.00181818181818182,2000.842
0.06,0.000909090909090909,1495.974
0.06,0.00181818181818182,1256.696
0.07,0.000909090909090909,872.229
0.07,0.00272727272727273,754.81
0.07,0.00181818181818182,841.337
0.06,0.00272727272727273,1099.615
0.08,0.00181818181818182,629.017
0.08,0.00272727272727273,523.053
0.07,0.00363636363636364,676.673
0.05,0.00272727272727273,1741.22
0.08,0.000909090909090909,715.264
0.25,0.000909090909090909,46.502
0.29,0.000909090909090909,58.765
0.24,0.000909090909090909,42.897
0.26,0.000909090909090909,53.044
0.3,0.00181818181818182,27.983
0.29,0.00181818181818182,56.87
0.2,0.000909090909090909,155.89
0.23,0.000909090909090909,47.182
0.22,0.000909090909090909,48.787
0.28,0.00181818181818182,36.166
0.31,0.00181818181818182,21.106
0.3,0.00363636363636364,19.7
0.31,0.00272727272727273,18.264
0.3,0.00272727272727273,24.563
0.31,0.00363636363636364,13.627
0.09,0.00181818181818182,456.77
0.09,0.00272727272727273,386.977
0.09,0.000909090909090909,476.606
0.1,0.00181818181818182,349.536
0.11,0.00363636363636364,201.233
0.1,0.00363636363636364,255.252
0.11,0.00181818181818182,231.755
0.1,0.00272727272727273,341.134
0.09,0.00454545454545455,334.941
0.1,0.000909090909090909,351.746
0.1,0.00454545454545455,277.632
0.09,0.00363636363636364,367.813
0.08,0.00363636363636364,517.438
0.19,0.000909090909090909,85.263
0.26,0.00181818181818182,46.544
0.21,0.000909090909090909,85.138
0.29,0.00272727272727273,45.158
0.28,0.00272727272727273,30.474
0.18,0.000909090909090909,80.583
0.26,0.00272727272727273,39.102
0.29,0.00363636363636364,41.323
0.11,0.000909090909090909,257.645
0.2,0.00181818181818182,125.814
0.27,0.00181818181818182,35.297
0.17,0.000909090909090909,164.589
0.3,0.00454545454545455,25.374
0.31,0.00454545454545455,15.741
0.3,0.00636363636363636,8.47
0.31,0.00636363636363636,13.725
0.25,0.00181818181818182,40.567
0.3,0.00545454545454545,12.905
0.31,0.00545454545454545,12.721
0.12,0.00181818181818182,234.149
0.12,0.000909090909090909,230.746
0.12,0.00363636363636364,191.772
0.12,0.00272727272727273,209.533
0.11,0.00272727272727273,243.113
0.18,0.00181818181818182,74.74
0.24,0.00272727272727273,26.31
0.15,0.000909090909090909,111.002
0.23,0.00181818181818182,40.072
0.28,0.00363636363636364,18.029
0.25,0.00363636363636364,26.965
0.29,0.00454545454545455,35.372
0.24,0.00363636363636364,27.877
0.28,0.00454545454545455,22.224
0.22,0.00181818181818182,41.652
0.27,0.00272727272727273,27.326
0.3,0.00818181818181818,9.679
0.31,0.00818181818181818,6.073
0.25,0.00272727272727273,32.126
0.28,0.00545454545454545,11.889
0.3,0.00727272727272727,11.192
0.17,0.00181818181818182,131.069
0.24,0.00181818181818182,36.833
0.14,0.000909090909090909,136.884
0.31,0.00909090909090909,8.423
0.13,0.000909090909090909,154.079
0.16,0.000909090909090909,113.485
0.14,0.00181818181818182,147.113
0.21,0.00272727272727273,58.85
0.23,0.00272727272727273,34.775
0.27,0.00454545454545455,18.01
0.26,0.00454545454545455,30.811
0.19,0.00181818181818182,72.447
0.29,0.00636363636363636,17.386
0.31,0.00727272727272727,7.62
0.21,0.00181818181818182,64.953
0.19,0.00272727272727273,66.8
0.24,0.00454545454545455,32.858
0.26,0.00363636363636364,29.413
