"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",110,42,0,0,"Shot",0.231990002937534,0.0438305468387899,5.98745892311115
"2",90,54,106,44,"Pass",0.488710007109132,0.02989402604755,1.93851026440933
"3",84,54,90,76,"Pass",0.427420501109118,0.0283651585889785,2.10312359231213
"4",66,20,62,10,"Pass",0.385456293811586,0.0273929864900309,2.25215963439372
"5",118,32,114,36,"Pass",0.881541105716799,0.025427960300546,0.914121418849492
"6",118,42,0,0,"Shot",0.691452847060247,0.0229321785858076,1.05103620004274
"7",70,56,86,52,"Pass",0.265215687325721,0.0225769681325826,2.69774775367248
"8",72,48,78,34,"Pass",0.25333265663469,0.0193919248039195,2.42585405563534
"9",120,0,112,32,"Pass",0.0829299376088634,0.0184123923722331,7.03612928710512
"10",80,44,68,44,"Pass",0.223251137205225,0.0179600606178396,2.54946495588007
"11",92,54,108,56,"Pass",0.405807472607037,0.0172892247090828,1.35017607254068
"12",78,30,88,4,"Pass",0.181648214834965,0.0166124866859692,2.89826732119991
"13",90,48,102,58,"Pass",0.186210444201425,0.016479031431575,2.80454604288545
"14",54,14,40,18,"Pass",0.284257296641699,0.0160727050585717,1.79189386326462
"15",52,64,66,34,"Pass",0.421834433149006,0.0158760971343788,1.19271491073532
"16",78,74,60,72,"Pass",0.462537400830182,0.0158397529083588,1.08526669454794
"17",80,70,58,36,"Pass",0.507441324710549,0.0155564754939641,0.971539148548672
"18",92,30,108,38,"Pass",0.304645263612672,0.0155196901095504,1.61444607351719
"19",80,18,70,14,"Pass",0.251224927774908,0.0153816791349437,1.94033155228376
"20",44,22,54,54,"Pass",0.487572709872614,0.015246205736906,0.99096271566542
"21",90,36,104,24,"Pass",0.182520557945522,0.0152424898082315,2.64654360515118
"22",28,46,42,30,"Run",0.5122628,0.0152234576289232,0.941792900157255
"23",46,58,38,60,"Pass",0.254840067909218,0.0151953288342792,1.88963236612687
"24",42,30,52,6,"Pass",0.385225870044896,0.0151514094584178,1.24644327434222
