x,y,WeightedExpectedGoals,GoalProbability
0,0,3.48576061689654,0.009
0,2,3.08277159757084,0.009
0,4,2.24087039368722,0.009
0,6,1.72710408212106,0.01
0,8,1.55014215220139,0.011
0,10,1.28729619128099,0.01
0,12,0.833650758613947,0.006
0,14,0.405160892085779,0.003
0,16,0.158190505118284,0.001
0,18,0.0692954785470165,0
0,20,0.0720055629961368,0
0,22,0.131525577827402,0.001
0,24,0.249631346153681,0.001
0,26,0.478270679736418,0.002
0,28,0.934064510146903,0.003
0,30,1.71423869471325,0.004
0,32,2.70456611048989,0.005
0,34,3.60640579410608,0.005
0,36,4.23092632669287,0.005
0,38,4.83649651887791,0.005
0,40,5.94347305585117,0.005
0,42,7.60826576923103,0.007
0,44,8.72577640175929,0.01
0,46,7.86466209310949,0.012
0,48,5.21205425905244,0.012
0,50,2.48133572830363,0.009
0,52,0.90957295192178,0.005
0,54,0.581087443867036,0.005
0,56,1.2993481509965,0.011
0,58,2.91044994827649,0.023
0,60,4.65136544790056,0.03
0,62,5.19602591263354,0.029
0,64,4.06266622899875,0.021
0,66,2.23195332599947,0.011
0,68,0.867956295623215,0.004
0,70,0.243653399705204,0.001
0,72,0.0507846374553419,0
0,74,0.00819006022438883,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,2.97532300837841,0.008
2,2,2.79116526395503,0.008
2,4,2.40745198510599,0.008
2,6,2.41118075295174,0.009
2,8,2.5797660240027,0.011
2,10,2.34301926477007,0.01
2,12,1.64489905256163,0.006
2,14,0.900998757780384,0.003
2,16,0.429071278040663,0.002
2,18,0.256391652550029,0.001
2,20,0.304522489880795,0.001
2,22,0.522784750697317,0.001
2,24,0.877565574114106,0.002
2,26,1.41670200547946,0.003
2,28,2.44043924913333,0.004
2,30,4.294379230583,0.005
2,32,6.76487716151776,0.006
2,34,8.948084952219,0.006
2,36,10.1387296015245,0.005
2,38,10.7639671204817,0.005
2,40,12.022334748664,0.005
2,42,14.2175632537228,0.006
2,44,15.5056041560129,0.009
2,46,13.5522883559527,0.01
2,48,8.80749364454524,0.01
2,50,4.13723549751466,0.007
2,52,1.48416689447086,0.004
2,54,0.820478344117787,0.003
2,56,1.65443344477889,0.007
2,58,3.6567007574785,0.015
2,60,5.84897128227769,0.021
2,62,6.58344359583967,0.021
2,64,5.24179988057491,0.015
2,66,2.99692747682558,0.008
2,68,1.26257910290984,0.003
2,70,0.408460748910341,0.001
2,72,0.105208631735648,0
2,74,0.0219781294567879,0
2,76,0.00305963911497377,0
2,78,0,0
2,80,0,0
4,0,1.85111633427736,0.006
4,2,1.98221240905098,0.006
4,4,2.21499428036595,0.006
4,6,2.8217923561906,0.008
4,8,3.41369504636959,0.009
4,10,3.38418946530809,0.009
4,12,2.65845322752523,0.007
4,14,1.71052809624302,0.004
4,16,1.02451179801539,0.002
4,18,0.775606385580989,0.002
4,20,0.952366659810311,0.002
4,22,1.5127698602061,0.003
4,24,2.30482855262194,0.004
4,26,3.22923208973383,0.004
4,28,4.80960477836533,0.005
4,30,7.9246034470633,0.006
4,32,12.3768208467688,0.006
4,34,16.302097293071,0.006
4,36,17.9990024463259,0.005
4,38,18.0400295786955,0.005
4,40,18.5562800515876,0.005
4,42,20.2338529770156,0.005
4,44,20.7287832558472,0.007
4,46,17.3402064068333,0.008
4,48,10.9518627553858,0.008
4,50,5.09867685936614,0.006
4,52,1.84977085732058,0.003
4,54,0.941263795808524,0.002
4,56,1.629006745918,0.004
4,58,3.46331097931002,0.009
4,60,5.52976057895725,0.013
4,62,6.36530933303539,0.014
4,64,5.38109933870942,0.01
4,66,3.46439580386664,0.006
4,68,1.77036370875329,0.003
4,70,0.733048063862591,0.001
4,72,0.239918070499371,0
4,74,0.0605818235672155,0
4,76,0.0107360403235719,0
4,78,0,0
4,80,0,0
6,0,0.956577995308263,0.004
6,2,1.35461843568189,0.004
6,4,2.02264218279802,0.005
6,6,2.96872999628684,0.007
6,8,3.83873818579905,0.008
6,10,4.15272185094698,0.008
6,12,3.71715420169255,0.007
6,14,2.83757140089015,0.005
6,16,2.07517863271298,0.004
6,18,1.82089617262738,0.003
6,20,2.20786742192783,0.003
6,22,3.25012028974681,0.004
6,24,4.58295880586891,0.005
6,26,5.73134055531626,0.006
6,28,7.34219022575763,0.006
6,30,11.0506692653156,0.006
6,32,16.9891669608111,0.007
6,34,22.420995685339,0.006
6,36,24.5036186020869,0.005
6,38,23.8126180002146,0.005
6,40,23.2188628473116,0.004
6,42,23.581021624383,0.005
6,44,22.428874432398,0.006
6,46,17.629667671655,0.006
6,48,10.7354799937184,0.006
6,50,5.0694255594443,0.004
6,52,2.06941845869742,0.003
6,54,1.1818207686046,0.002
6,56,1.68551728585737,0.003
6,58,3.17085447948932,0.006
6,60,4.91122927210056,0.009
6,62,5.87273711218363,0.01
6,64,5.58309595736372,0.008
6,66,4.35769529401466,0.006
6,68,2.77787435456727,0.004
6,70,1.38671313224816,0.002
6,72,0.517267871535591,0.001
6,74,0.139132484387451,0
6,76,0.0262638801818049,0
6,78,0.00356013984690807,0
6,80,0,0
8,0,0.578041630935758,0.002
8,2,1.14991870717974,0.003
8,4,2.00538750226299,0.004
8,6,3.00002723755076,0.005
8,8,3.93209880259605,0.007
8,10,4.5684355702686,0.007
8,12,4.60691585495081,0.007
8,14,4.04992167841276,0.006
8,16,3.41150921605975,0.005
8,18,3.25088804822096,0.005
8,20,3.86329158561982,0.005
8,22,5.3326409366718,0.006
8,24,7.06949940830225,0.007
8,26,8.10801757344574,0.007
8,28,9.00977374208042,0.006
8,30,12.1344608664372,0.006
8,32,18.3185004641935,0.006
8,34,24.6448953898545,0.006
8,36,27.5117034309767,0.006
8,38,27.0674365827521,0.005
8,40,26.135408346191,0.005
8,42,25.3074348821922,0.005
8,44,22.3157677084337,0.006
8,46,16.3205593493165,0.006
8,48,9.69891172463216,0.005
8,50,5.02502726732009,0.004
8,52,2.70236035373408,0.003
8,54,2.02290037398958,0.002
8,56,2.58945709671079,0.003
8,58,4.12147035958292,0.005
8,60,5.84038573163276,0.008
8,62,6.90325851790601,0.009
8,64,6.99250794048392,0.008
8,66,6.05051931040099,0.007
8,68,4.22940321435213,0.005
8,70,2.24247727095657,0.002
8,72,0.864033099506549,0.001
8,74,0.238471669068412,0
8,76,0.0513700368279817,0
8,78,0.0126011883653717,0
8,80,0.00451934322990403,0
10,0,0.488490648670546,0.001
10,2,1.135451342368,0.002
10,4,2.03504589816823,0.003
10,6,2.96256604213616,0.004
10,8,3.84683805369956,0.005
10,10,4.67548558833903,0.006
10,12,5.11184861516785,0.006
10,14,4.90767511989613,0.006
10,16,4.46320309525044,0.006
10,18,4.4365792088775,0.005
10,20,5.23192238505109,0.006
10,22,6.95812709795293,0.007
10,24,8.84711804474417,0.008
10,26,9.53995227706039,0.007
10,28,9.43379749225258,0.006
10,30,11.3326067456594,0.005
10,32,16.9681025928002,0.005
10,34,24.0863738354668,0.006
10,36,28.7403948619738,0.006
10,38,29.9478905766633,0.006
10,40,29.5517945645579,0.006
10,42,27.814227563583,0.006
10,44,23.1398909925467,0.006
