Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedProbabiliticGoals,y,x,event
14,0.0405878397340619,1,0.0231888037503575,0.571323921211236,0.0231888037503575,24,86,Shot
19,0.219441541411256,1,0.0998500504597788,0.455018907621733,0.0998500504597788,26,86,Shot
23,0.56973432380234,1,0.158169867333722,0.277620393797086,0.158169867333722,28,86,Shot
30,0.850561728736343,1,0.0921732137669524,0.108367459589196,0.0921732137669524,30,86,Shot
35,0.959548819142131,2,0.0199259358433399,0.0207659427491707,0.0199259358433399,32,86,Shot
36,1.01984213668868,2,0.00236307948224906,0.00231710320375832,0.00236307948224906,34,86,Shot
33,1.05894607466463,2,0.00150597610613668,0.00142214617171476,0.00150597610613668,36,86,Shot
30,1.04229553213528,2,0.00103353051475696,0.000991590660126535,0.00103353051475696,38,86,Shot
33,0.887132442951115,1,0.000228246193900118,0.000257285364450024,0.000228246193900118,40,86,Shot
32,0.695829346810882,0,0,0,0,42,86,Shot
28,0.681060454705585,0,0,0,0,44,86,Shot
30,0.760134955950775,0,0,0,0,46,86,Shot
24,0.694926926305919,1,0.000176447758054373,0.000253908362699847,0.000176447758054373,48,86,Shot
24,0.477434036067632,1,0.000219867445475866,0.000460519001298684,0.000219867445475866,50,86,Shot
24,0.300888146086496,1,0.00010078855869646,0.000334970187451276,0.00010078855869646,52,86,Shot
21,0.163998483418158,0,0,0,0,54,86,Shot
19,0.0669676043214902,0,0,0,0,56,86,Shot
12,0.0228255073620823,0,0,0,0,58,86,Shot
9,0.00705681746375748,0,0,0,0,60,86,Shot
3,0.00302581561455446,0,0,0,0,62,86,Shot
2,0.00136118402469575,0,0,0,0,64,86,Shot
2,0.0017121526769602,0,0,0,0,66,86,Shot
1,0.00249445324577162,0,0,0,0,68,86,Shot
1,0.00145363826960204,0,0,0,0,70,86,Shot
1,0.000311632573313692,0,0,0,0,72,86,Shot
2,0.00106464335548581,0,0,0,0,16,88,Shot
5,0.00529695551728561,0,0,0,0,18,88,Shot
8,0.0131020875193064,1,0.000074546630638966,0.00568967582678097,0.000074546630638966,20,88,Shot
17,0.0285448218230699,1,0.00237184839628759,0.0830920722150265,0.00237184839628759,22,88,Shot
23,0.117803247522449,1,0.0277620384799521,0.235664458016419,0.0277620384799521,24,88,Shot
24,0.512672516524638,1,0.119542214119036,0.233174610040348,0.119542214119036,26,88,Shot
34,1.16098376026816,1,0.189363711494605,0.163106253485291,0.189363711494605,28,88,Shot
35,1.41320665751021,2,0.110527361526294,0.0782103317578629,0.110527361526294,30,88,Shot
38,1.37794697245294,2,0.0259798075904607,0.018853996641259,0.0259798075904607,32,88,Shot
41,1.57721651504009,3,0.0137383891960426,0.00871052836756112,0.0137383891960426,34,88,Shot
40,1.6858500796197,2,0.0222428690237025,0.0131938594615247,0.0222428690237025,36,88,Shot
35,1.35634867656675,2,0.0159606909128651,0.011767395204945,0.0159606909128651,38,88,Shot
38,0.88456642619234,2,0.00450015838674618,0.00508741712718776,0.00450015838674618,40,88,Shot
41,0.636954286831676,2,0.000512886825319238,0.000805217636371408,0.000512886825319238,42,88,Shot
36,0.745662611414718,1,0.000136050323659309,0.00018245560602963,0.000136050323659309,44,88,Shot
39,0.975125426967025,2,0.00144919226106634,0.00148615985286511,0.00144919226106634,46,88,Shot
41,1.06289953250848,2,0.00485750553271207,0.00457005143397533,0.00485750553271207,48,88,Shot
42,0.917232154863041,2,0.00599395277451454,0.00653482626261565,0.00599395277451454,50,88,Shot
41,0.659518928072804,2,0.00272275165354864,0.00412839046409912,0.00272275165354864,52,88,Shot
36,0.459013989259579,1,0.000408717759884208,0.00089042549780127,0.000408717759884208,54,88,Shot
30,0.323804074073999,0,0,0,0,56,88,Shot
21,0.168227924667699,0,0,0,0,58,88,Shot
15,0.0703005998901934,0,0,0,0,60,88,Shot
10,0.0351128868836391,0,0,0,0,62,88,Shot
3,0.0155067056251757,0,0,0,0,64,88,Shot
2,0.0199467369726635,0,0,0,0,66,88,Shot
2,0.0292740604455458,0,0,0,0,68,88,Shot
1,0.0170145619929958,0,0,0,0,70,88,Shot
1,0.00364760054035604,0,0,0,0,72,88,Shot
1,0.000287673122492401,0,0,0,0,74,88,Shot
2,0.00119299128018716,0,0,0,0,14,90,Shot
5,0.0132358473149529,0,0,0,0,16,90,Shot
6,0.0576007250988292,0,0,0,0,18,90,Shot
14,0.12598795502772,0,0,0,0,20,90,Shot
21,0.194392541389544,1,0.00104463711341434,0.00537385388321558,0.00104463711341434,22,90,Shot
27,0.341031365531132,1,0.0122272805401845,0.0358538298116404,0.0122272805401845,24,90,Shot
31,0.883464313121701,1,0.0526501751477575,0.0595951351580001,0.0526501751477575,26,90,Shot
36,1.69295853186674,1,0.0834017727569657,0.0492639194564338,0.0834017727569657,28,90,Shot
40,1.82988861216805,2,0.0495094934866175,0.0270560148619969,0.0495094934866175,30,90,Shot
43,1.55289571659681,3,0.02309282735628,0.0148708165715649,0.02309282735628,32,90,Shot
46,1.70845990160601,3,0.0656614985428669,0.0384331516830703,0.0656614985428669,34,90,Shot
50,1.78347070382488,3,0.127598856820334,0.0715452496902149,0.127598856820334,36,90,Shot
52,1.39872444732121,3,0.0994820349195464,0.0711233975427191,0.0994820349195464,38,90,Shot
58,0.952929363571793,3,0.0321719551572265,0.0337611121947579,0.0321719551572265,40,90,Shot
60,0.814522927478133,3,0.00472196165610855,0.0057972114679796,0.00472196165610855,42,90,Shot
53,1.03204430417157,4,0.00193112266423358,0.00187116256194418,0.00193112266423358,44,90,Shot
52,1.2566348418728,2,0.014445211251427,0.0114951541769277,0.014445211251427,46,90,Shot
51,1.40296419063865,2,0.0480526451974105,0.0342507994986929,0.0480526451974105,48,90,Shot
58,1.47494795171221,2,0.058869646439202,0.0399130331147364,0.058869646439202,50,90,Shot
56,1.32358850356406,2,0.0265598062158425,0.0200665132284878,0.0265598062158425,52,90,Shot
49,1.21933140449114,2,0.00441261869950007,0.00361888382702778,0.00441261869950007,54,90,Shot
41,1.10128429850236,1,0.000224309062502737,0.000203679524721977,0.000224309062502737,56,90,Shot
31,0.669069685785977,0,0,0,0,58,90,Shot
21,0.307014754860449,0,0,0,0,60,90,Shot
15,0.148333601674963,0,0,0,0,62,90,Shot
6,0.0646670720390321,0,0,0,0,64,90,Shot
2,0.0855099208280019,0,0,0,0,66,90,Shot
2,0.126033622229438,0,0,0,0,68,90,Shot
1,0.0732640153343604,0,0,0,0,70,90,Shot
1,0.0157064203023432,0,0,0,0,72,90,Shot
1,0.00123870882284497,0,0,0,0,74,90,Shot
1,0.000122000463535781,0,0,0,0,12,92,Shot
3,0.00533554820660598,0,0,0,0,14,92,Shot
7,0.0569381024760516,0,0,0,0,16,92,Shot
9,0.24231660499418,0,0,0,0,18,92,Shot
17,0.487532289583177,0,0,0,0,20,92,Shot
26,0.643430819552734,1,0.000169258112754361,0.000263055650445865,0.000169258112754361,22,92,Shot
29,0.787175591693249,1,0.00198113431140262,0.00251676288277831,0.00198113431140262,24,92,Shot
37,1.17493300561266,1,0.00853068416511575,0.00726057070859752,0.00853068416511575,26,92,Shot
40,1.68374046333417,1,0.0135132348601642,0.00802572317672114,0.0135132348601642,28,92,Shot
47,1.72025353345039,3,0.00970661847788385,0.00564255110606566,0.00970661847788385,30,92,Shot
50,1.44118392037948,4,0.0276359665159088,0.0191758776413713,0.0276359665159088,32,92,Shot
59,1.43706442469207,5,0.139539345654518,0.0971002713983533,0.139539345654518,34,92,Shot
63,1.48789655159561,4,0.298336580025274,0.200508953196605,0.298336580025274,36,92,Shot
63,1.36691873499341,4,0.266207335686228,0.194749935655474,0.266207335686228,38,92,Shot
67,1.12457863425658,4,0.10816522614904,0.0961828927334585,0.10816522614904,40,92,Shot
74,1.2112113162418,5,0.0243047360724174,0.0200664704387267,0.0243047360724174,42,92,Shot
70,1.69666924631473,5,0.00975546741808527,0.00574977559077866,0.00975546741808527,44,92,Shot
63,1.94449577416813,3,0.0574718112423839,0.0295561512685574,0.0574718112423839,46,92,Shot
65,1.90378017635006,2,0.188378178208257,0.0989495428875707,0.188378178208257,48,92,Shot
67,2.03410024938043,2,0.228389042108472,0.112280130823462,0.228389042108472,50,92,Shot
62,2.17668683213329,2,0.102010106231697,0.0468648519969779,0.102010106231697,52,92,Shot
52,2.32771750318072,2,0.0167848448811657,0.00721085993391811,0.0167848448811657,54,92,Shot
44,2.19677261527474,2,0.00101737121964181,0.000463120858557577,0.00101737121964181,56,92,Shot
36,1.37358990314454,0,0,0,0,58,92,Shot
25,0.591493569869315,0,0,0,0,60,92,Shot
18,0.242405298383531,0,0,0,0,62,92,Shot
9,0.0995976934740192,0,0,0,0,64,92,Shot
3,0.134964962702747,0,0,0,0,66,92,Shot
2,0.199617794050249,0,0,0,0,68,92,Shot
1,0.116055620727397,0,0,0,0,70,92,Shot
1,0.0248801317983311,0,0,0,0,72,92,Shot
1,0.00196220642125186,0,0,0,0,74,92,Shot
2,0.000288122280500109,0,0,0,0,12,94,Shot
4,0.00880140959165823,0,0,0,0,14,94,Shot
8,0.0955163899963146,0,0,0,0,16,94,Shot
11,0.413384908256578,0,0,0,0,18,94,Shot
17,0.819084871562601,0,0,0,0,20,94,Shot
23,1.00907061551194,0,0,0,0,22,94,Shot
33,1.10440696169352,1,0.000118087378264179,0.000106923790196959,0.000118087378264179,24,94,Shot
38,1.25868917857572,1,0.000508479471613945,0.000403975405738627,0.000508479471613945,26,94,Shot
44,1.30601436581887,1,0.000805469102887392,0.000616738317715491,0.000805469102887392,28,94,Shot
52,1.24130431431808,4,0.00229402848727226,0.00184807904138519,0.00229402848727226,30,94,Shot
58,1.17338088400626,4,0.0248897245960978,0.0212119738231265,0.0248897245960978,32,94,Shot
59,1.12184554555925,4,0.136621801253445,0.121783075927211,0.136621801253445,34,94,Shot
61,1.24337800277012,4,0.319433980641396,0.256908180721977,0.319433980641396,36,94,Shot
67,1.47106733707263,5,0.346298843590559,0.235406520737305,0.346298843590559,38,94,Shot
69,1.46797230792143,5,0.208305250289898,0.141899986236694,0.208305250289898,40,94,Shot
65,1.65187961197533,6,0.0792545938044237,0.0479784321023555,0.0792545938044237,42,94,Shot
69,2.14490739782593,4,0.026144879133918,0.0121892810665945,0.026144879133918,44,94,Shot
72,2.36370266816167,3,0.0935382932014863,0.0395727831852193,0.0935382932014863,46,94,Shot
74,2.24461723281976,2,0.299646163511921,0.13349543928053,0.299646163511921,48,94,Shot
69,2.35080486462824,3,0.358904102956374,0.152672860413334,0.358904102956374,50,94,Shot
64,2.70301490441364,3,0.158763928132993,0.0587358685569044,0.158763928132993,52,94,Shot
58,2.98702721979713,3,0.0262379112481075,0.00878395451980163,0.0262379112481075,54,94,Shot
48,2.68445309911212,3,0.00172211909337327,0.000641515805935613,0.00172211909337327,56,94,Shot
41,1.59878734257769,0,0,0,0,58,94,Shot
31,0.595393983884019,0,0,0,0,60,94,Shot
19,0.174587386968162,0,0,0,0,62,94,Shot
9,0.0583140569694727,0,0,0,0,64,94,Shot
2,0.0782942647335056,0,0,0,0,66,94,Shot
2,0.116311121349427,0,0,0,0,68,94,Shot
1,0.0676312101570694,0,0,0,0,70,94,Shot
1,0.014498853324312,0,0,0,0,72,94,Shot
1,0.00114347236278155,0,0,0,0,74,94,Shot
1,0.000117216756936866,0,0,0,0,12,96,Shot
4,0.00583025818670599,0,0,0,0,14,96,Shot
10,0.0684667017108304,0,0,0,0,16,96,Shot
11,0.331486774011934,0,0,0,0,18,96,Shot
18,0.758732002615354,0,0,0,0,20,96,Shot
23,1.03333373904729,0,0,0,0,22,96,Shot
33,1.08050608623064,0,0,0,0,24,96,Shot
46,1.07643628358045,0,0,0,0,26,96,Shot
46,0.961616876250118,2,0.000283905398452293,0.000295237537385366,0.000283905398452293,28,96,Shot
50,0.915403934567744,4,0.00298802641277997,0.00326416164487093,0.00298802641277997,30,96,Shot
55,1.07194973969989,4,0.0288234511556523,0.0268888083910743,0.0288234511556523,32,96,Shot
62,1.17692406869655,6,0.126094356703043,0.107138905607304,0.126094356703043,34,96,Shot
