"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",52,28,68,28,"Pass",0.176413786241528,0.0315602049883867,5.66946688125986
"2",70,12,64,22,"Pass",0.414588160563002,0.0290698251178321,2.222083894624
"3",38,30,38,52,"Pass",0.12001502971255,0.0233053658045554,6.15396774185474
"4",28,28,50,8,"Pass",0.199256163545043,0.0193383696544961,3.07569326511836
"5",66,28,102,42,"Pass",0.370145009834262,0.0183701462936039,1.57280776444804
"6",56,10,62,26,"Pass",0.151880112294009,0.0167503736794659,3.4950912498665
"7",58,36,68,4,"Pass",0.417439903315749,0.0161645469725127,1.2271693641721
"8",38,14,52,14,"Pass",0.0997354186060464,0.0157915779126915,5.01777335353016
"9",52,4,30,24,"Pass",0.47096614587426,0.015760647912238,1.06052107971405
"10",72,32,102,38,"Pass",0.474484643838448,0.0153349949275429,1.02422743208667
"11",28,18,30,56,"Pass",0.16766160659254,0.0153214660279248,2.8960204714462
"12",16,18,10,40,"Pass",0.342289593494531,0.0150854577374284,1.3966890399289
"13",54,24,48,60,"Pass",0.0950208319118629,0.0150452714767556,5.01783213545808
"14",52,10,64,10,"Pass",0.187940965663682,0.0150225666179716,2.53313078511773
"15",42,32,42,62,"Pass",0.118415447486286,0.0149230569761456,3.99378208889657
"16",40,26,72,32,"Run",0.438981599959391,0.0148798646043325,1.07420604191003
"17",80,12,78,24,"Pass",0.38381307815244,0.0148567108009278,1.22669848500605
"18",50,22,48,54,"Pass",0.0918223723529435,0.0148546389144953,5.12682529793684
"19",20,8,48,22,"Pass",0.414466363794106,0.0143804583791747,1.09955856756009
"20",50,2,60,0,"Pass",0.258845246246275,0.0142624748974048,1.74618248566942
"21",44,10,106,32,"Pass",0.451906800287976,0.0141390871533807,0.99153357141884
"22",30,38,32,66,"Pass",0.327902002760627,0.0140841748788176,1.36120102669281
"23",52,24,60,30,"Pass",0.0734879183483002,0.01375122457864,5.93007734206056
"24",38,22,46,38,"Pass",0.128625108037075,0.0137114463056165,3.37825511550478
