x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
0,0,3.29196118934789,0,0
0,2,7.14583742881425,0,0
0,4,12.7849184208459,0,0
0,6,19.1878409025065,0,0
0,8,24.2768540751517,0,0
0,10,26.2473867253935,0,0
0,12,25.0584504888983,0,0
0,14,21.5369765933685,0,0
0,16,16.6604636941183,0,0.001
0,18,12.206242394429,0,0.003
0,20,9.73531478874474,0,0.005
0,22,8.56952062202694,0,0.007
0,24,6.93334863699336,0,0.008
0,26,4.48151826685042,0,0.008
0,28,2.22199497514333,0,0.007
0,30,0.873113925983321,0,0.01
0,32,0.344112378080935,0,0.038
0,34,0.235133515306244,0,0.104
0,36,0.342227933396264,0,0.102
0,38,0.593193206136688,0,0.059
0,40,1.10128756900411,0,0.022
0,42,1.94336207605924,0,0.006
0,44,2.81788694065674,0,0.001
0,46,3.20511418795028,0,0
0,48,2.95390745462873,0,0
0,50,2.44925600882277,0,0
0,52,1.94521388918653,0,0
0,54,1.37906913976709,0,0
0,56,0.783780726842649,0,0
0,58,0.360503787451509,0,0
0,60,0.195632710203462,0,0
0,62,0.184389716255371,0,0
0,64,0.172834224281824,0,0
0,66,0.125474493973918,0,0
0,68,0.0639369997075273,0,0
0,70,0.0195273842139966,0,0
0,72,0.00469721381401115,0,0
2,0,8.70387882143168,0,0
2,2,17.3548629127778,0,0
2,4,27.8762550516827,0,0
2,6,38.2265810201462,0,0
2,8,46.495953998895,0,0
2,10,50.9160290649438,0,0
2,12,50.54908204721,0,0
2,14,45.3852708716541,0,0.001
2,16,37.0910493738176,0,0.002
2,18,29.5875108911864,0,0.005
2,20,25.809217677873,0,0.008
2,22,23.8286790883795,0.001,0.009
2,24,19.7546730061402,0.001,0.009
2,26,13.2415340693061,0,0.009
2,28,7.04818387948884,0,0.008
2,30,3.17302578934559,0,0.012
2,32,1.56457162491088,0,0.042
2,34,1.32050363703313,0,0.097
2,36,1.71786540064814,0,0.105
2,38,2.57407015543408,0,0.07
2,40,4.10961501975908,0,0.031
2,42,6.41685532249071,0,0.01
2,44,8.68886247248894,0,0.002
2,46,9.57290386584443,0,0.001
2,48,8.7824986495666,0,0
2,50,7.41015332165568,0,0
2,52,6.0675476345555,0,0
2,54,4.41291429017276,0,0
2,56,2.56277267246171,0,0
2,58,1.29001184031994,0,0
2,60,0.862508996657649,0,0
2,62,0.906203559220221,0,0
2,64,0.892352732955415,0,0
2,66,0.650904618862104,0,0
2,68,0.337311318922021,0,0
2,70,0.123372116056575,0,0
2,72,0.031920417895054,0,0
4,0,17.4248660772693,0,0
4,2,33.2807481773426,0,0
4,4,49.9328022964526,0,0
4,6,63.4297381123879,0,0
4,8,73.6162924265321,0,0
4,10,80.9573832261643,0,0
4,12,83.7612858027357,0,0.001
4,14,79.8809323207208,0,0.002
4,16,70.6461875812523,0.001,0.005
4,18,61.5988688389761,0.002,0.008
4,20,56.8032901132485,0.003,0.011
4,22,53.003383595931,0.004,0.011
4,24,44.2949027625892,0.003,0.011
4,26,30.7464396788522,0.001,0.009
4,28,17.6421408725687,0,0.008
4,30,9.16743655405658,0,0.013
4,32,5.62709007355032,0,0.043
4,34,5.3333305500485,0.001,0.087
4,36,6.45789142863073,0.002,0.102
4,38,8.39679660353484,0.002,0.078
4,40,11.5884773898245,0.001,0.039
4,42,16.0985237604848,0,0.014
4,44,20.1597174671349,0,0.004
4,46,21.185306663811,0,0.001
4,48,19.0773160038077,0,0
4,50,16.2279930345263,0,0
4,52,13.5985204468415,0,0
4,54,10.1366871744641,0,0
4,56,6.13921685245358,0,0
4,58,3.4089283792776,0,0
4,60,2.76810662955073,0,0
4,62,3.21233100880031,0,0
4,64,3.26597949371808,0,0
4,66,2.43381167075109,0,0
4,68,1.29180068522758,0,0
4,70,0.485912830500225,0,0
4,72,0.129790014173292,0,0
4,74,0.0246544082565667,0,0
6,0,26.0726083943088,0,0
6,2,49.2426834171602,0,0
6,4,71.9162156409002,0,0
6,6,87.7776434505645,0,0
6,8,98.8531950054751,0,0
6,10,109.662184651386,0,0.001
6,12,119.217895611991,0.001,0.002
6,14,122.766336297118,0.003,0.005
6,16,118.802786922649,0.006,0.009
6,18,111.717535966501,0.009,0.013
6,20,105.614352300771,0.012,0.014
6,22,97.3201864242981,0.012,0.013
6,24,81.0270355255474,0.009,0.011
6,26,58.114747910584,0.004,0.009
6,28,36.4822657186461,0.001,0.008
6,30,22.4733172890612,0,0.014
6,32,16.8361876887751,0.001,0.038
6,34,16.5858346871836,0.006,0.072
6,36,18.303693696878,0.012,0.091
6,38,20.895737439412,0.012,0.079
6,40,25.3562826969222,0.006,0.045
6,42,31.6494292179157,0.001,0.018
6,44,36.4876897688341,0,0.005
6,46,36.1122270303405,0,0.001
6,48,31.3269251510678,0,0
6,50,26.4305390639258,0,0
6,52,22.6123911732806,0,0
6,54,17.531689951676,0,0
6,56,11.3134701007424,0,0
