GoalProbability,WeightedExpectedGoals,WeightedCount
0,0,1905959.61
0.01,0,1290684.634
0.03,0,363226.169
0.02,0,729056.444
0.04,0,180332.397
0.08,0,25798.495
0.06,0,57594.221
0.07,0,36611.616
0.09,0,17738.396
0.05,0,96806.932
0.1,0,13149.408
0.11,0,9573.08
0.16,0,3138.779
0.18,0,2216.082
0.13,0,5972.384
0.21,0,1425.878
0.22,0,1343.549
0.2,0,1705.29
0.19,0,1982.668
0.15,0,3921.59
0.14,0,4861.1
0.17,0,2589.279
0.12,0,7615.204
0.23,0,1249.169
0.28,0,656.936
0.33,0,315.856
0.34,0,299.012
0.26,0,774.599
0.24,0,1217.043
0.25,0,969.384
0.31,0,343.262
0.37,0,230.942
0.32,0,320.025
0.4,0,203.571
0.41,0,191.777
0.3,0,433.675
0.36,0,244.268
0.29,0,551.367
0.35,0,248.731
0.43,0,168.251
0.27,0,849.911
0.44,0,156.305
0.45,0,151.006
0.38,0,240.603
0.39,0,274.491
0.46,0,143.858
0.42,0,167.37
0.49,0,97.228
0.5,0,82.201
0.51,0,54.378
0.53,0,38.239
0.52,0,50.697
0.47,0,143.231
0.48,0,636.448
0.38,0.01,131.904
0.32,0.01,160.43
0.4,0.01,103.263
0.42,0.01,76.249
0.28,0.01,265.255
0.37,0.01,123.421
0.34,0.01,165.599
0.3,0.01,210.056
0.33,0.01,158.244
0.35,0.01,149.895
0.25,0.01,420.721
0.36,0.01,121.751
0.27,0.01,327.949
0.31,0.01,165.869
0.26,0.01,329.517
0.29,0.01,253.215
0.23,0.01,470.369
0.05,0.01,70236.291
0.06,0.01,42758.71
0.24,0.01,410.213
0.21,0.01,739.55
0.22,0.01,579.014
0.19,0.01,868.36
0.16,0.01,1662.238
0.14,0.01,2635.14
0.2,0.01,864.517
0.03,0.01,98433.16
0.04,0.01,99478.806
0.15,0.01,2065.035
0.13,0.01,3408.869
0.18,0.01,1142.736
0.12,0.01,4466.078
0.17,0.01,1296.756
0.11,0.01,6013.677
0.02,0.01,71371.4
0.05,0.02,10855.757
0.04,0.02,7208.136
0.39,0.01,116.336
0.43,0.01,77.977
0.51,0.01,39.177
0.54,0.01,34.341
0.53,0.01,33.708
0.48,0.01,104.214
0.47,0.01,70.298
0.5,0.01,34.721
0.57,0.01,24.581
0.56,0.01,30.67
0.52,0.01,45.149
0.1,0.01,7816.74
0.45,0.01,79.377
0.49,0.02,23.85
0.38,0.02,32.075
0.46,0.01,58.2
0.58,0.02,15.243
0.47,0.02,17.171
0.32,0.02,45.982
0.52,0.02,16.752
0.37,0.02,31.466
0.53,0.02,21.104
0.55,0.01,30.901
